agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
Baseline,17,random,10,1.0,0.96,0.05,29.34,0.4888958284209417,0.342717554718256,0.003067484662576687,100
Baseline,17,random,123,1.0,0.93,0.15,30.65,0.4782168041751367,0.35165261492133143,0.006199021207177814,100
Baseline,17,random,42,1.0,0.88,0.23,27.26,0.4752241547452818,0.34764585211873056,0.004768892149669846,100
Baseline,17,random,456,0.98,0.92,0.11,35.12,0.4181831135236574,0.34743724644184115,0.006548974943052392,100
Baseline,17,random,9,1.0,0.94,0.1,32.13,0.43579019072929015,0.3524668638408184,0.004979769685652039,100
PSS_Only_V0,17,random,10,1.0,0.95,0.1,38.33,0.39272181914573917,0.35068075016140937,0.006261414036003131,100
PSS_Only_V0,17,random,123,1.0,0.93,0.13,31.3,0.4990714668078047,0.3523606988787651,0.005111821086261981,100
PSS_Only_V0,17,random,42,1.0,0.92,0.19,33.81,0.502253515016275,0.3486909906566143,0.00709849157054126,100
PSS_Only_V0,17,random,456,0.99,0.88,0.18,33.84,0.46125985675885023,0.3429231630265713,0.005319148936170213,100
PSS_Only_V0,17,random,9,1.0,0.9,0.15,27.29,0.5564123726105931,0.34907713800668716,0.005130084279956028,100
PSS_Social,17,random,10,1.0,0.97,0.05,33.81,0.479317947619256,0.3474064579606056,0.003845016267376516,100
PSS_Social,17,random,123,1.0,0.94,0.09,31.22,0.6023640737743724,0.35239502012729645,0.007687379884689302,100
PSS_Social,17,random,42,1.0,0.92,0.13,24.29,0.5737989256106487,0.3453570967912674,0.004528612597776863,100
PSS_Social,17,random,456,0.99,0.91,0.17,35.16,0.4598012172510145,0.3459995768964291,0.006257110352673493,100
PSS_Social,17,random,9,1.0,0.96,0.07,35.6,0.4217436542831404,0.3607377314567566,0.012359550561797753,100
Baseline,19,random,10,1.0,0.91,0.14,33.83,0.4788900431162731,0.33506894499063494,0.0029559562518474726,100
Baseline,19,random,123,1.0,0.83,0.38,35.09,0.497668065612627,0.33108765617012975,0.004274722143060701,100
Baseline,19,random,42,0.99,0.88,0.23,32.39,0.491119430235766,0.3386361676454544,0.004013584439641865,100
Baseline,19,random,456,0.98,0.93,0.1,34.77,0.4077192263207229,0.3440978741645813,0.00805291918320391,100
Baseline,19,random,9,0.97,0.85,0.27,36.79,0.41353624856053167,0.33841885209083555,0.006523511823865181,100
PSS_Only_V0,19,random,10,0.95,0.89,0.12,44.78,0.3978691861154056,0.3418556645512581,0.008262617239839214,100
PSS_Only_V0,19,random,123,0.99,0.93,0.11,37.98,0.5250815223296021,0.34148799136281016,0.00631911532385466,100
PSS_Only_V0,19,random,42,0.99,0.9,0.2,36.13,0.5165999472139144,0.3422332082688808,0.0066426792139496265,100
PSS_Only_V0,19,random,456,0.99,0.95,0.08,35.78,0.43540322322177777,0.3442037120461464,0.003912800447177194,100
PSS_Only_V0,19,random,9,1.0,0.87,0.18,30.08,0.5436109305427319,0.34294552356004715,0.0029920212765957447,100
PSS_Social,19,random,10,0.99,0.91,0.16,37.56,0.46376501137892057,0.3394605876505375,0.006922257720979766,100
PSS_Social,19,random,123,0.97,0.92,0.09,37.39,0.5971852023769748,0.3414125753939152,0.004011767852366943,100
PSS_Social,19,random,42,1.0,0.95,0.1,28.32,0.5994324784788629,0.3447569112479687,0.005296610169491525,100
PSS_Social,19,random,456,0.98,0.97,0.02,36.68,0.45026750546971944,0.34540738523006437,0.004089422028353326,100
PSS_Social,19,random,9,0.98,0.93,0.13,40.12,0.4362608682048071,0.3485864621400833,0.009222333000997009,100
Baseline,21,random,10,0.97,0.83,0.29,37.34,0.4707739179196368,0.32375446647405626,0.006963042313872523,100
Baseline,21,random,123,0.99,0.8,0.42,35.63,0.49058226198162386,0.3239139394462109,0.006455234353073253,100
Baseline,21,random,42,0.98,0.82,0.37,37.76,0.4948303384678003,0.32759825721383096,0.005296610169491525,100
Baseline,21,random,456,0.98,0.85,0.4,38.87,0.44177799726926636,0.33021150186657905,0.007718034473887317,100
Baseline,21,random,9,0.91,0.68,0.55,45.58,0.4089797245975318,0.32285352632403375,0.008775778850372971,100
PSS_Only_V0,21,random,10,0.85,0.7,0.34,55.39,0.3914175252607365,0.324940190166235,0.011554432207979779,100
PSS_Only_V0,21,random,123,0.98,0.82,0.3,36.57,0.5123344341485159,0.3277729783952236,0.006289308176100629,100
PSS_Only_V0,21,random,42,0.91,0.76,0.34,46.78,0.5293820919814838,0.3261932234466076,0.006840530141085934,100
PSS_Only_V0,21,random,456,1.0,0.88,0.23,36.93,0.44127987106681915,0.33108435332775116,0.004332520985648524,100
PSS_Only_V0,21,random,9,1.0,0.86,0.24,30.4,0.5357677380586056,0.3308084663748741,0.004934210526315789,100
PSS_Social,21,random,10,0.99,0.87,0.22,41.26,0.48070811676772907,0.3309134592115879,0.0075133301017935045,100
PSS_Social,21,random,123,0.97,0.83,0.35,38.49,0.5989591327343592,0.32699460834264754,0.007014809041309431,100
PSS_Social,21,random,42,1.0,0.86,0.24,33.68,0.6054131594501354,0.33320715934038164,0.004156769596199525,100
PSS_Social,21,random,456,1.0,0.9,0.2,37.65,0.45329831533672704,0.3331302411854267,0.005577689243027889,100
PSS_Social,21,random,9,0.96,0.86,0.18,43.01,0.41666681271993183,0.33919889271259307,0.01116019530341781,100
Baseline,23,random,10,1.0,0.8,0.34,37.44,0.470321043709888,0.3204064576327801,0.008012820512820512,100
Baseline,23,random,123,0.98,0.72,0.41,38.78,0.48923297498627605,0.31919760540127756,0.007478081485301702,100
Baseline,23,random,42,0.96,0.76,0.35,39.86,0.4889147988378204,0.32644286304712294,0.008028098344204716,100
Baseline,23,random,456,0.99,0.84,0.33,38.76,0.4372679847588573,0.3229086605459452,0.008771929824561403,100
Baseline,23,random,9,0.83,0.51,1.13,54.26,0.39194026798005677,0.3050275103747845,0.014375230372281608,100
PSS_Only_V0,23,random,10,0.82,0.61,0.79,57.94,0.39316968039864975,0.3196778011322021,0.011908871246116672,100
PSS_Only_V0,23,random,123,0.93,0.65,0.74,43.13,0.5147624551350639,0.3115136533975601,0.0067238581034083,100
PSS_Only_V0,23,random,42,0.89,0.69,0.42,47.91,0.5157108144495939,0.32713285356760025,0.008975161761636402,100
PSS_Only_V0,23,random,456,0.99,0.83,0.29,39.31,0.4595315453550953,0.3270993147790432,0.00839481048079369,100
PSS_Only_V0,23,random,9,1.0,0.73,0.68,32.84,0.5083853137929779,0.3117604986578226,0.0057856272838002435,100
PSS_Social,23,random,10,0.97,0.72,0.55,43.09,0.45491008312536774,0.32140655905008314,0.008354606637270829,100
PSS_Social,23,random,123,0.86,0.67,0.46,47.29,0.5604826241746129,0.3202420036494732,0.009092831465426094,100
PSS_Social,23,random,42,0.99,0.8,0.46,35.61,0.5791855054985268,0.3263444010913372,0.005616399887672002,100
PSS_Social,23,random,456,0.98,0.81,0.38,39.04,0.44599530771355117,0.32405505686998365,0.007940573770491803,100
PSS_Social,23,random,9,0.92,0.72,0.46,48.29,0.41941111010977267,0.3225972653925419,0.014702837026299442,100
